Accession	Strain	HorizontalCov	MeanDepth
MT321514.1	Porcine bocavirus	79.15208890718255	95.22844206626878
MH016288.1	Porcine bocavirus	78.20873149709576	28.35919055649241
MN481505.1	Porcine bocavirus	72.69029633933759	37.26418748789464
MH454686.1	Porcine bocavirus	43.73545384018619	62.98972071373157
MF590243.1	Porcine bocavirus	75.06696888522563	41.85308056872038
MF590244.1	Porcine bocavirus	71.45503189956781	27.325375591685532
MF085373.1	Porcine bocavirus	63.518231186966645	92.8087664856478
KX017193.1	Porcine bocavirus	22.48211869321477	88.8180939493524
KM402137.1	Porcine bocavirus	75.03607503607503	134.63945578231292
KM402138.1	Porcine bocavirus	56.442720032673066	6.14886665305289
KM402139.1	Porcine bocavirus	35.584777844192075	23.275951384737997
KF360033.1	Porcine bocavirus	66.18009478672985	5.458199052132701
KF206154.1	Porcine bocavirus	56.46150801504057	2.599247971502078
KF206155.1	Porcine bocavirus	37.38200125865324	14.335431088735053
KF206156.1	Porcine bocavirus	18.244227168712296	2.513833992094862
KF206157.1	Porcine bocavirus	37.23717409587889	26.551724137931036
KF206158.1	Porcine bocavirus	74.59263729631866	35.174009253671294
KF206159.1	Porcine bocavirus	54.08058907752097	80.75250562487216
KF206160.1	Porcine bocavirus	17.4061433447099	4.508933949006224
KF206161.1	Porcine bocavirus	34.46407065435568	10.0800883179446
KF206162.1	Porcine bocavirus	79.06325060048039	31.137710168134507
KF206163.1	Porcine bocavirus	26.524879614767254	16.94983948635634
KF206164.1	Porcine bocavirus	86.82716774319827	111.67077706009003
KF206165.1	Porcine bocavirus	18.985565356856455	2.6503608660785885
KF206166.1	Porcine bocavirus	43.13725490196079	4.2964943553178845
KF206167.1	Porcine bocavirus	36.44747393744988	4.645348837209302
KF206168.1	Porcine bocavirus	73.56528694261148	660.0993801239752
NC_022233.1	Suid betaherpesvirus 2	0.20877639891872524	0.006925455919356221
KF017583.1	Suid betaherpesvirus 2	0.3630216488661416	0.011311318329477201
KM269482.1	Encephalomyocarditis virus	1.5746031746031748	0.015746031746031747
MW165134.1	Porcine hemagglutinating encephalomyelitis virus	11.146611025983765	0.46470837544420174
MF083115.1	Porcine hemagglutinating encephalomyelitis virus	3.0962779479825304	0.0593181670034548
KY994645.1	Porcine hemagglutinating encephalomyelitis virus	4.308434363186025	0.06589753617520532
KY419103.1	Porcine hemagglutinating encephalomyelitis virus	5.654217811439018	0.1060655523635414
KY419104.1	Porcine hemagglutinating encephalomyelitis virus	0.3701277432034065	0.003701277432034065
KY419105.1	Porcine hemagglutinating encephalomyelitis virus	0.9733556189165274	0.012879756169501523
KY419106.1	Porcine hemagglutinating encephalomyelitis virus	13.37641465211277	2.1625259492399382
KY419107.1	Porcine hemagglutinating encephalomyelitis virus	12.020357597267797	2.2469697984330006
KY419109.1	Porcine hemagglutinating encephalomyelitis virus	14.53554470674781	2.206915000334381
KY419110.1	Porcine hemagglutinating encephalomyelitis virus	2.6511551695887268	0.0314599377355399
KY419111.1	Porcine hemagglutinating encephalomyelitis virus	14.605236724034018	1.9987611330610058
KY419113.1	Porcine hemagglutinating encephalomyelitis virus	13.28428093645485	2.0173578595317725
DQ011855.1	Porcine hemagglutinating encephalomyelitis virus	0.931758530183727	0.00931758530183727
MF373209	Influenza A virus (H1N2)	9.298245614035087	0.09298245614035087
MK039744	Influenza A virus	9.234828496042216	0.09234828496042216
CY159176	Influenza A virus (H1N1)	7.587719298245614	0.07587719298245614
NC_016769.1	Porcine kobuvirus	2.5213154689403168	0.025213154689403168
MZ334483.1	Porcine kobuvirus	3.186424124038579	0.05103162007080943
MT125682.1	Porcine kobuvirus	8.03680981595092	0.1619631901840491
MT125684.1	Porcine kobuvirus	3.628640776699029	0.03628640776699029
MT125685.1	Porcine kobuvirus	11.490343738612898	0.8050528361472125
MT211964.1	Porcine kobuvirus	3.2528339083292264	0.032528339083292265
MN807751.1	Porcine kobuvirus	15.268519683058734	0.2901521821154572
MK962320.1	Porcine kobuvirus	2.5822168087697928	0.02582216808769793
MK962321.1	Porcine kobuvirus	8.587088915956151	0.09585870889159562
MK962323.1	Porcine kobuvirus	11.76613885505481	0.8627283800243606
MK962324.1	Porcine kobuvirus	6.345919610231425	0.08940316686967113
MK962326.1	Porcine kobuvirus	3.970767356881851	0.03970767356881851
MK962327.1	Porcine kobuvirus	3.17904993909866	0.031790499390986604
MK962328.1	Porcine kobuvirus	3.812423873325213	0.46138855054811206
MK962329.1	Porcine kobuvirus	10.024360535931791	1.9733252131546895
MK962331.1	Porcine kobuvirus	20.609013398294763	0.32302070645554204
MK962332.1	Porcine kobuvirus	1.8635809987819731	0.018635809987819732
MK962333.1	Porcine kobuvirus	20.109622411693056	0.4864799025578563
MK962334.1	Porcine kobuvirus	9.074299634591961	0.0907429963459196
MK962335.1	Porcine kobuvirus	4.689403166869671	0.07503045066991473
MK962336.1	Porcine kobuvirus	8.30694275274056	0.2612667478684531
MF506730.1	Porcine kobuvirus	19.627085377821395	0.6813052011776252
LT898428.1	Porcine kobuvirus	12.79940119760479	0.14196606786427146
LC210621.1	Porcine kobuvirus	2.9085531180675375	0.029085531180675375
KC414936.1	Porcine kobuvirus	3.0572472594397078	0.030572472594397077
KY234499.1	Porcine kobuvirus	7.300258525175428	0.12987812384586975
KY234500.1	Porcine kobuvirus	2.623152709359606	0.02623152709359606
KM051987.1	Porcine kobuvirus	19.0914671577655	0.48103130755064455
KP144318.1	Porcine kobuvirus	16.313610908205504	0.25906988069150233
KM977675.1	Porcine kobuvirus	14.84298331697743	0.46577526987242396
KJ452348.1	Porcine kobuvirus	4.271294928606598	0.042712949286065977
KF695124.1	Porcine kobuvirus	2.857142857142857	0.02857142857142857
KF539763.1	Porcine kobuvirus	10.0134985887839	0.4507301509387655
KC424638.1	Porcine kobuvirus	2.192448233861145	0.02192448233861145
KC204684.1	Porcine kobuvirus	3.5350435743218362	0.13293236774272738
JX401523.1	Porcine kobuvirus	21.090864319133217	0.756217680374292
JX177612.1	Porcine kobuvirus	2.728380024360536	0.02728380024360536
JQ692069.1	Porcine kobuvirus	21.869681497690248	1.4290055920252858
JN630514.1	Porcine kobuvirus	5.274056029232643	0.08830694275274056
GQ249161.1	Porcine kobuvirus	8.781973203410475	0.08781973203410474
NC_025402.1	Respirovirus suis	6.131462717588984	0.12094050402702
MT497920.1	Respirovirus suis	5.3029808883960605	0.08088187332855
MT497921.1	Respirovirus suis	1.2985318107667212	0.012985318107667211
MH396493.1	Respirovirus suis	81.1704338789296	33.20213042348662
MK395271.1	Respirovirus suis	3.0592361652377242	0.03676279553130683
MF567967.1	Respirovirus suis	81.58408115489661	27.34854987644687
MG753974.1	Respirovirus suis	84.81607096269241	31.557461518392905
MF681710.1	Respirovirus suis	79.24872831616017	65.11477761836441
JX857409.1	Respirovirus suis	5.027279812938425	0.14835022083658092
JX857411.1	Respirovirus suis	2.9942842296700443	0.03247596778383996
KX981440.1	Porcine epidemic diarrhea virus	0.35912387996017636	0.016818375764471625
MN648449.1	Porcine reproductive and respiratory syndrome virus	0.5558496559025939	0.00555849655902594
MN073103.1	Porcine reproductive and respiratory syndrome virus	1.552547770700637	0.022492038216560508
MN073104.1	Porcine reproductive and respiratory syndrome virus	1.5326433121019107	0.023686305732484078
MN073105.1	Porcine reproductive and respiratory syndrome virus	1.618895966029724	0.025942144373673037
MN073106.1	Porcine reproductive and respiratory syndrome virus	1.6321656050955413	0.021496815286624203
MN073107.1	Porcine reproductive and respiratory syndrome virus	1.6786093418259023	0.0368895966029724
MN073108.1	Porcine reproductive and respiratory syndrome virus	1.728362360108602	0.05165220846301569
MN073109.1	Porcine reproductive and respiratory syndrome virus	1.7803957905883911	2.1502415778674964
MN073110.1	Porcine reproductive and respiratory syndrome virus	1.7406843603150441	0.1109934476140049
MN175678.1	Porcine reproductive and respiratory syndrome virus	2.4104192315168795	0.955355407244217
KT257967.1	Porcine reproductive and respiratory syndrome virus	3.350515463917526	0.08485329103885805
KT257968.1	Porcine reproductive and respiratory syndrome virus	2.208702552572411	0.08107393201957414
MT197597.1	Suid alphaherpesvirus 1	0.25612578926463136	0.01106682554683541
MT157263.1	Suid alphaherpesvirus 1	0.08967113632098096	0.0013415914193759166
KJ870902.1	Rotavirus A	11.501350829795445	0.1829409494403705
KF371732.1	Human rotavirus A	10.343496719413354	0.10343496719413355
NC_007547.1	Rotavirus C	8.673315200967059	0.08673315200967059
NC_003987.1	Porcine sapelovirus 1	75.63743158456815	35.5712187958884
KY053835.1	Porcine sapelovirus 1	66.29288479508743	25.838606327593112
AF406813.1	Porcine sapelovirus 1	70.95180883727139	36.78614337204645
KJ508818.1	Sapovirus	5.6265629341483745	0.05626562934148375
NC_003985.1	Teschovirus A	63.38344808205705	18.62006463397499
MN807750.1	Teschovirus A	21.458243804612522	0.5537888554648331
MG755212.1	Teschovirus A	47.038229939784344	3.970172244783644
LC386152.1	Teschovirus A	27.913851351351347	0.7511261261261262
LC386153.1	Teschovirus A	20.532694475760994	0.3752818489289741
MF967586.1	Teschovirus A	38.46586119696544	2.0347007586400676
KX686489.1	Teschovirus A	42.839265850945495	3.6922969966629586
KU297677.1	Teschovirus A	37.55987602141448	15.6683572837419
KR018369.1	Teschovirus A	31.434628975265017	0.7383745583038869
KJ881010.1	Teschovirus A	39.96054670987741	1.4754121459771734
KC667562.1	Teschovirus A	29.769392033542978	5.406848357791754
KC667563.1	Teschovirus A	46.876310272536685	11.002655485674353
KC757344.1	Teschovirus A	31.200897867564535	3.5489618406285075
JQ975417.1	Teschovirus A	43.78944348823867	1.5279690189328743
JQ429405.1	Teschovirus A	15.330619121156817	0.32598624175207075
JN859128.2	Teschovirus A	46.01553509781358	3.9982738780207137
JN710381.1	Teschovirus A	16.067920291888857	3.9463934886331744
GQ914053.2	Teschovirus A	42.90705800139762	6.113487071977638
KX900393.1	Transmissible gastroenteritis virus	0.7802113218109299	0.007802113218109299
KX900395.1	Transmissible gastroenteritis virus	1.1324988604887627	0.011324988604887627
KX900396.1	Transmissible gastroenteritis virus	2.5640122565421053	0.025640122565421055
KX900397.1	Transmissible gastroenteritis virus	0.8730409172188914	0.011956102520949476
KX900400.1	Transmissible gastroenteritis virus	2.657690824304898	0.03250236667718523
KX900409.1	Transmissible gastroenteritis virus	0.3295817117211879	0.003295817117211879
KR270796.1	Porcine respiratory coronavirus	1.0516837745362866	0.010516837745362866
MH603532.1	Porcine torovirus	0.9796293676616212	0.009796293676616212
KM403390.1	Porcine torovirus	1.8053347465112173	0.018053347465112172
